2024-11-19 11:05:13 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:05:12 | Carga: 0.96228551864624023% | Memoria: 2732MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:05:23 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:05:22 | Carga: 1.234296441078186% | Memoria: 2733MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:05:33 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:05:32 | Carga: 0% | Memoria: 2738MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:05:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:05:42 | Carga: 0.86619120836257935% | Memoria: 2733MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:05:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:05:53 | Carga: 1.6812499761581421% | Memoria: 2736MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:06:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:06:03 | Carga: 0.700713574886322% | Memoria: 2722MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:06:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:06:13 | Carga: 0% | Memoria: 2803MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:06:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:06:23 | Carga: 1.4619364738464356% | Memoria: 2818MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:06:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:06:33 | Carga: 0% | Memoria: 2817MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:06:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:06:43 | Carga: 0.62846535444259644% | Memoria: 2810MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:06:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:06:53 | Carga: 0% | Memoria: 2817MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:07:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:07:03 | Carga: 0.056436680257320404% | Memoria: 2780MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:07:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:07:13 | Carga: 0% | Memoria: 2803MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:07:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:07:23 | Carga: 0.72109830379486084% | Memoria: 2799MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:07:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:07:33 | Carga: 0% | Memoria: 2808MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:07:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:07:43 | Carga: 0% | Memoria: 2804MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:07:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:07:53 | Carga: 0.57126003503799438% | Memoria: 2808MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:08:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:08:03 | Carga: 0% | Memoria: 2815MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:08:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:08:13 | Carga: 0.20598483085632324% | Memoria: 2812MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:08:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:08:23 | Carga: 0.79606646299362183% | Memoria: 2816MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:08:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:08:33 | Carga: 0.71062254905700684% | Memoria: 2849MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:08:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:08:43 | Carga: 0% | Memoria: 2857MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:08:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:08:53 | Carga: 1.1186729669570923% | Memoria: 2861MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:09:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:09:03 | Carga: 0.62824290990829468% | Memoria: 2865MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:09:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:09:13 | Carga: 0.8614811897277832% | Memoria: 2860MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:09:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:09:23 | Carga: 2.0505928993225098% | Memoria: 2859MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:09:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:09:33 | Carga: 0% | Memoria: 2864MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:09:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:09:43 | Carga: 0% | Memoria: 2863MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:09:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:09:53 | Carga: 0.46131718158721924% | Memoria: 2866MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:10:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:10:03 | Carga: 0.45008206367492676% | Memoria: 2857MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:10:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:10:13 | Carga: 0% | Memoria: 2856MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:10:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:10:23 | Carga: 2.6795082092285156% | Memoria: 2858MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:10:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:10:33 | Carga: 0% | Memoria: 2859MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:10:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:10:43 | Carga: 0.46985197067260742% | Memoria: 2842MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:10:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:10:53 | Carga: 0.70297330617904663% | Memoria: 2850MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:11:04 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:11:03 | Carga: 0.07885364443063736% | Memoria: 2838MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:11:14 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:11:13 | Carga: 1.5796312093734741% | Memoria: 2803MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:11:24 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:11:23 | Carga: 2.840458869934082% | Memoria: 2807MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:11:34 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:11:33 | Carga: 0.61684590578079224% | Memoria: 2803MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:11:44 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:11:43 | Carga: 0% | Memoria: 2797MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:11:54 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:11:53 | Carga: 0% | Memoria: 2797MB | Battery %: 100.0 | Status:  | 
